 sid,C11L202-2022-1121010101-20220531,C11L202-2022-1121010101-20220602
192C1044,0.302734375,0.193359375
202C1007,0.2080078125,0.2998046875
202C1129,0.4970703125,0.251953125
212C1001,0.28515625,0.966796875
212C1003,0.41015625,0.3720703125
212C1004,0.7578125,0.3544921875
212C1005,0.345703125,0.9560546875
212C1007,0.4853515625,0.3935546875
212C1009,0.494140625,0.30859375
212C1010,0.439453125,0.2333984375
212C1012,0.33203125,0.2548828125
212C1013,1.046875,0.771484375
212C1017,0.216796875,0.4453125
212C1018,0.4375,0.6103515625
212C1020,0.8388671875,0.27734375
212C1021,0.6962890625,0.3076171875
212C1023,0.2197265625,0.9560546875
212C1025,0.3984375,0.904296875
212C1027,0.541015625,0.52734375
212C1028,0.6396484375,0.888671875
212C1030,0.3427734375,0.306640625
212C1032,0.2138671875,1.083984375
212C1033,0.3671875,0.3095703125
212C1035,0.2578125,0.458984375
212C1039,0.3515625,0.4384765625
212C1040,0.3076171875,0.912109375
212C1041,0.390625,0.3681640625
212C1048,0.376953125,0.54296875
212C1050,0.390625,0.3291015625
212C1053,0.52734375,0.345703125
212C1054,0,0.890625
212C1055,0.501953125,0.748046875
212C1057,0.2587890625,0.3369140625
212C1060,0.201171875,0
212C1061,0.50390625,2.09375
212C1063,0.310546875,0.36328125
212C1064,0.296875,0.23828125
212C1065,0.4541015625,0.783203125
212C1067,0.3232421875,0.2392578125
212C1068,0.1826171875,0.3466796875
212C1073,0.4697265625,0.318359375
212C1075,0.220703125,0.392578125
212C1077,0.1787109375,0.3203125
212C1081,0.4912109375,0.984375
212C1082,0.7783203125,0.3837890625
212C1083,0.40234375,0.2255859375
212C1085,0.234375,0.7763671875
212C1091,0.33984375,0.3115234375
212C1094,0,0.32421875
212C1095,0.697265625,0.9150390625
212C1100,0,0.4072265625
212C1101,0.28125,0.7607421875
212C1103,0.2734375,1.123046875
212C1104,0.1953125,0.32421875
212C1105,0.2607421875,0.4248046875
212C1108,0.5615234375,0.3701171875
212C1110,0.3330078125,0.326171875
212C1112,0.2451171875,0.2333984375
212C1115,0,0.2431640625
212C1116,0.333984375,0.2138671875
212C1118,0.818359375,1.6767578125
212C1119,0.306640625,0.7080078125
212C1121,0.43359375,1.0263671875
212C1122,0,0.912109375
212C1125,0.3193359375,0.3427734375
212C1126,0.333984375,0.427734375
212C1127,0.3916015625,0.8876953125
212C1128,0.47265625,0.486328125
212C1129,0.404296875,0.3056640625
212C1130,0.41015625,0.3193359375
212C1131,0.6748046875,0.2353515625
212C1132,0,0.3037109375
212C1135,0.3330078125,0.412109375
212C1137,0.41015625,0.7099609375
212C1138,0.318359375,0.3349609375
212C1139,0.3095703125,0.2978515625
212C1140,0.2197265625,0.3115234375
212C1143,0.2509765625,0.2451171875
212C1146,0.6416015625,0.5947265625
212C1148,0.3046875,0.634765625
212C1155,0.236328125,0.439453125
212C1157,0.498046875,0.314453125
212C1162,0.2685546875,0.724609375
212C1164,0.185546875,0
212C1165,0.375,0.1982421875
212C1167,0.36328125,0.40625
212C1169,0.8544921875,0.36328125
212C1175,0.5751953125,0
212C1178,0.6328125,0.2587890625
212C1179,0.2783203125,0.830078125
212C2034,0.673828125,0.4453125
212C2043,1.0673828125,0.3583984375
212C2052,0.400390625,0.712890625
212C2075,0.439453125,0.21875
212C2077,0.3349609375,0.29296875
212C2092,0.1630859375,0.228515625
212C2112,0.3115234375,0.55078125
22221202,0.736328125,0.306640625
22221204,0.9638671875,0.6796875
22221207,0.533203125,0.232421875

